Items,Condition,Verb,VerbType,Mood,TypeMood,NPI,NPIType,NPIType2,EmbeddedVerb,Group,SentenceNum,ItemNum,Sentence,LN_reading_experiment
Critical Item,NR+subj+NPI,pensar,NR,subj,ra,yes,en años,en,leer,A,1,1,Juan no pensaba que Carlos hubiera leído un libro tan complicado en años.,Juan pensaba que Carlos no había leído un libro tan complicado en años.
Critical Item,NR+subj,pensar,NR,subj,ra,no,,,leer,B,2,1,Juan no pensaba que Carlos hubiera leído un libro tan complicado ese año. ,Juan pensaba que Carlos no había leído un libro tan complicado ese año.
Control,NNR+subj,saber,NNR,subj,ra,no,,,leer,C,3,1,Juan no sabía que Carlos hubiera leído un libro tan complicado ese año. ,Juan sabía que Carlos no había leído un libro tan complicado ese año.
Control,NR+ind+NPI,pensar,NR,ind,,yes,en años,en,leer,D,4,1,Juan no pensaba que Carlos había leído un libro tan complicado en años.,Juan pensaba que Carlos no había leído un libro tan complicado en años.
Critical Item,NR+ind,pensar,NR,ind,,no,,,leer,E,5,1,Juan no pensaba que Carlos había leído un libro tan complicado ese año.,Juan pensaba que Carlos no había leído un libro tan complicado ese año.
Control,NNR+ind,saber,NNR,ind,,no,,,leer,F,6,1,Juan no sabía que Carlos había leído un libro tan complicado ese año.,Juan sabía que Carlos no había leído un libro tan complicado ese año.
Critical Item,NR+subj+NPI,creer,NR,subj,ra,yes,en años,en,visitar,A,7,2,Alejandro no creía que Valeria hubiera visitado el museo en años.,Alejandro creía que Valeria no había visitado el museo en años.
Critical Item,NR+subj,creer,NR,subj,ra,no,,,visitar,B,8,2,Alejandro no creía que Valeria hubiera visitado el museo ese año.,Alejandro creía que Valeria no había visitado el museo ese año.
Control,NNR+subj,estar seguro,NNR,subj,ra,no,,,visitar,C,9,2,Alejandro no estaba seguro de que Valeria hubiera visitado el museo ese año. ,Alejandro estaba seguro de que Valeria no había visitado el museo ese año.
Control,NR+ind+NPI,creer,NR,ind,,yes,en años,en,visitar,D,10,2,Alejandro no creía que Valeria había visitado el museo en años.,Alejandro creía que Valeria no había visitado el museo en años.
Critical Item,NR+ind,creer,NR,ind,,no,,,visitar,E,11,2,Alejandro no creía que Valeria había visitado el museo ese año.,Alejandro creía que Valeria no había visitado el museo ese año.
Control,NNR+ind,estar seguro,NNR,ind,,no,,,visitar,F,12,2,Alejandro no estaba seguro de que Valeria había visitado el museo ese año. ,Alejandro estaba seguro de que Valeria no había visitado el museo ese año.
Critical Item,NR+subj+NPI,parecer,NR,subj,ra,yes,en años,en,ser rentable,A,13,3,A Sergio no le parecía que la inversión hubiera sido tan rentable en años.,A Sergio le parecía que la inversión no había sido tan rentable en años.
Critical Item,NR+subj,parecer,NR,subj,ra,no,,,ser rentable,B,14,3,A Sergio no le parecía que la inversión hubiera sido tan rentable ese año. ,A Sergio le parecía que la inversión no había sido tan rentable ese año.
Control,NNR+subj,resultar evidente,NNR,subj,ra,no,,,ser rentable,C,15,3,A Sergio no le resultaba evidente que la inversión hubiera sido tan rentable ese año.,A Sergio le resultaba evidente que la inversión no había sido tan rentable ese año.
Control,NR+ind+NPI,parecer,NR,ind,,yes,en años,en,ser rentable,D,16,3,A Sergio no le parecía que la inversión había sido tan rentable en años.,A Sergio le parecía que la inversión no había sido tan rentable en años.
Critical Item,NR+ind,parecer,NR,ind,,no,,,ser rentable,E,17,3,A Sergio no le parecía que la inversión había sido tan rentable ese año. ,A Sergio le parecía que la inversión no había sido tan rentable ese año.
Control,NNR+ind,resultar evidente,NNR,ind,,no,,,ser rentable,F,18,3,A Sergio no le resultaba evidente que la inversión había sido tan rentable ese año.,A Sergio le resultaba evidente que la inversión no había sido tan rentable ese año.
Critical Item,NR+subj+NPI,considerar,NR,subj,ra,yes,en años,en,cometer,A,19,4,Gonzalo no consideraba que Leticia hubiera cometido un error grave en años.,Gonzalo consideraba que Leticia no había cometido un error grave en años.
Critical Item,NR+subj,considerar,NR,subj,ra,no,,,cometer,B,20,4,Gonzalo no consideraba que Leticia hubiera cometido un error grave ese año.,Gonzalo consideraba que Leticia no había cometido un error grave ese año.
Control,NNR+subj,ser consciente,NNR,subj,ra,no,,,cometer,C,21,4,Gonzalo no era consciente de que Leticia hubiera cometido un error grave ese año.,Gonzalo era consciente de que Leticia no había cometido un error grave ese año.
Control,NR+ind+NPI,considerar,NR,ind,,yes,en años,en,cometer,D,22,4,Gonzalo no consideraba que Leticia había cometido un error grave en años.,Gonzalo consideraba que Leticia no había cometido un error grave en años.
Critical Item,NR+ind,considerar,NR,ind,,no,,,cometer,E,23,4,Gonzalo no consideraba que Leticia había cometido un error grave ese año.,Gonzalo consideraba que Leticia no había cometido un error grave ese año.
